model,masking,feature,mae,rmse,mre,r2,n_masked
mean,random_p0.3,heart_rate,0.8008,0.9968,1.0000,-0.0002,27950
mean,random_p0.3,sbp,0.8231,0.9982,1.0000,-0.0037,27262
mean,random_p0.3,dbp,0.7885,0.9983,1.0000,-0.0018,27165
mean,random_p0.3,respiratory_rate,0.8004,1.0145,1.0000,-0.0003,27565
mean,random_p0.3,spo2,0.8131,0.9941,1.0000,-0.0000,27705
mean,random_p0.3,temperature,0.7229,0.9729,1.0000,-0.0011,1583
mean,random_p0.3,glucose,0.6764,0.9326,1.0000,-0.0070,2381
mean,random_p0.3,potassium,0.7593,0.9855,1.0000,-0.0000,2538
mean,random_p0.3,sodium,0.7301,0.9992,1.0000,-0.0001,2507
mean,random_p0.3,chloride,0.7811,1.0047,1.0000,-0.0015,2544
mean,random_p0.3,creatinine,0.6846,0.9600,1.0000,-0.0009,2453
mean,random_p0.3,bun,0.7178,0.9472,1.0000,-0.0031,2417
mean,random_p0.3,wbc,0.7067,0.9659,1.0000,-0.0006,2347
mean,random_p0.3,platelets,0.7525,0.9786,1.0000,-0.0016,2406
mean,random_p0.3,hemoglobin,0.7938,0.9765,1.0000,-0.0001,2459
mean,random_p0.3,hematocrit,0.7877,0.9761,1.0000,-0.0016,2728
mean,random_p0.3,lactate,0.6811,1.0151,1.0000,-0.0003,1926
locf,random_p0.3,heart_rate,0.3287,0.5034,2.0393,0.7449,27950
locf,random_p0.3,sbp,0.4103,0.5891,1.8205,0.6505,27262
locf,random_p0.3,dbp,0.5693,0.8262,3.0048,0.3139,27165
locf,random_p0.3,respiratory_rate,0.6209,0.8955,1.7146,0.2207,27565
locf,random_p0.3,spo2,0.5560,0.8448,1.6482,0.2777,27705
locf,random_p0.3,temperature,0.3123,0.5851,1.1019,0.6379,1583
locf,random_p0.3,glucose,0.5999,0.8876,2.8364,0.0879,2381
locf,random_p0.3,potassium,0.6914,0.9350,2.3780,0.0999,2538
locf,random_p0.3,sodium,0.4827,0.6998,1.3792,0.5094,2507
locf,random_p0.3,chloride,0.4880,0.6907,1.1325,0.5267,2544
locf,random_p0.3,creatinine,0.3250,0.5858,0.7657,0.6273,2453
locf,random_p0.3,bun,0.3544,0.5966,0.8076,0.6022,2417
locf,random_p0.3,wbc,0.4676,0.6918,1.6456,0.4868,2347
locf,random_p0.3,platelets,0.3905,0.6485,1.1644,0.5601,2406
locf,random_p0.3,hemoglobin,0.5776,0.7891,1.4944,0.3468,2459
locf,random_p0.3,hematocrit,0.5644,0.7738,1.6447,0.3706,2728
locf,random_p0.3,lactate,0.4186,0.6181,1.3158,0.6292,1926
linear_interp,random_p0.3,heart_rate,0.2570,0.3924,1.6464,0.8450,27950
linear_interp,random_p0.3,sbp,0.3389,0.4870,1.5000,0.7611,27262
linear_interp,random_p0.3,dbp,0.4832,0.7057,2.6084,0.4995,27165
linear_interp,random_p0.3,respiratory_rate,0.5337,0.7618,1.4561,0.4360,27565
linear_interp,random_p0.3,spo2,0.4749,0.7117,1.3862,0.4874,27705
linear_interp,random_p0.3,temperature,0.1715,0.3200,0.6957,0.8917,1583
linear_interp,random_p0.3,glucose,0.5181,0.7907,3.2502,0.2762,2381
linear_interp,random_p0.3,potassium,0.5994,0.8375,2.4084,0.2777,2538
linear_interp,random_p0.3,sodium,0.3581,0.4976,1.4117,0.7520,2507
linear_interp,random_p0.3,chloride,0.3446,0.4961,1.0276,0.7558,2544
linear_interp,random_p0.3,creatinine,0.1454,0.3163,0.5702,0.8914,2453
linear_interp,random_p0.3,bun,0.1600,0.3132,0.5871,0.8903,2417
linear_interp,random_p0.3,wbc,0.3456,0.5364,1.8232,0.6914,2347
linear_interp,random_p0.3,platelets,0.2360,0.4060,1.1779,0.8276,2406
linear_interp,random_p0.3,hemoglobin,0.3991,0.5640,1.5694,0.6664,2459
linear_interp,random_p0.3,hematocrit,0.4026,0.5732,1.6248,0.6546,2728
linear_interp,random_p0.3,lactate,0.3056,0.4648,1.2265,0.7903,1926
saits,random_p0.3,heart_rate,0.4300,0.5796,2.2594,0.6619,27950
saits,random_p0.3,sbp,0.4038,0.5527,1.6703,0.6923,27262
saits,random_p0.3,dbp,0.4547,0.6347,1.9602,0.5950,27165
saits,random_p0.3,respiratory_rate,0.5835,0.7653,1.2463,0.4308,27565
saits,random_p0.3,spo2,0.5904,0.7944,1.3237,0.3614,27705
saits,random_p0.3,temperature,0.5405,0.7651,1.4908,0.3809,1583
saits,random_p0.3,glucose,0.5480,0.8219,1.9728,0.2179,2381
saits,random_p0.3,potassium,0.6396,0.8399,1.6202,0.2737,2538
saits,random_p0.3,sodium,0.4285,0.5732,1.2664,0.6709,2507
saits,random_p0.3,chloride,0.4295,0.5579,1.0513,0.6912,2544
saits,random_p0.3,creatinine,0.2776,0.4863,0.8730,0.7431,2453
saits,random_p0.3,bun,0.2815,0.4271,1.0797,0.7961,2417
saits,random_p0.3,wbc,0.4202,0.6137,1.3937,0.5961,2347
saits,random_p0.3,platelets,0.4174,0.5669,1.2901,0.6639,2406
saits,random_p0.3,hemoglobin,0.2591,0.3745,0.8475,0.8529,2459
saits,random_p0.3,hematocrit,0.2935,0.4323,1.0210,0.8035,2728
saits,random_p0.3,lactate,0.5272,0.7917,1.3504,0.3915,1926
