model,masking,feature,mae,rmse,n_masked
mean,random_p0.3,heart_rate,0.8038,1.0003,87141
mean,random_p0.3,sbp,0.8165,0.9924,84923
mean,random_p0.3,dbp,0.7860,0.9964,84719
mean,random_p0.3,respiratory_rate,0.8065,1.0216,86583
mean,random_p0.3,spo2,0.8095,0.9912,86339
mean,random_p0.3,temperature,0.7456,1.0117,5237
mean,random_p0.3,glucose,0.7153,1.0014,7444
mean,random_p0.3,potassium,0.7674,0.9954,8164
mean,random_p0.3,sodium,0.7389,0.9958,8085
mean,random_p0.3,chloride,0.7884,1.0180,8038
mean,random_p0.3,creatinine,0.6900,1.0117,7818
mean,random_p0.3,bun,0.7367,0.9829,7766
mean,random_p0.3,wbc,0.7157,0.9841,7477
mean,random_p0.3,platelets,0.7535,0.9856,7625
mean,random_p0.3,hemoglobin,0.7962,0.9865,7625
mean,random_p0.3,hematocrit,0.7849,0.9814,8575
mean,random_p0.3,lactate,0.6873,1.0291,6065
locf,random_p0.3,heart_rate,0.3298,0.5097,87141
locf,random_p0.3,sbp,0.4097,0.5883,84923
locf,random_p0.3,dbp,0.5629,0.8133,84719
locf,random_p0.3,respiratory_rate,0.6141,0.8871,86583
locf,random_p0.3,spo2,0.5546,0.8439,86339
locf,random_p0.3,temperature,0.3248,0.5945,5237
locf,random_p0.3,glucose,0.6483,0.9705,7444
locf,random_p0.3,potassium,0.6947,0.9479,8164
locf,random_p0.3,sodium,0.4860,0.6914,8085
locf,random_p0.3,chloride,0.4896,0.6979,8038
locf,random_p0.3,creatinine,0.3163,0.5970,7818
locf,random_p0.3,bun,0.3480,0.5925,7766
locf,random_p0.3,wbc,0.4716,0.7109,7477
locf,random_p0.3,platelets,0.4069,0.6691,7625
locf,random_p0.3,hemoglobin,0.5855,0.8006,7625
locf,random_p0.3,hematocrit,0.5729,0.7874,8575
locf,random_p0.3,lactate,0.4319,0.6583,6065
linear_interp,random_p0.3,heart_rate,0.2558,0.3898,87141
linear_interp,random_p0.3,sbp,0.3370,0.4831,84923
linear_interp,random_p0.3,dbp,0.4776,0.6927,84719
linear_interp,random_p0.3,respiratory_rate,0.5304,0.7579,86583
linear_interp,random_p0.3,spo2,0.4740,0.7128,86339
linear_interp,random_p0.3,temperature,0.1783,0.3327,5237
linear_interp,random_p0.3,glucose,0.5444,0.8481,7444
linear_interp,random_p0.3,potassium,0.5908,0.8294,8164
linear_interp,random_p0.3,sodium,0.3688,0.5109,8085
linear_interp,random_p0.3,chloride,0.3378,0.4886,8038
linear_interp,random_p0.3,creatinine,0.1400,0.2974,7818
linear_interp,random_p0.3,bun,0.1561,0.3002,7766
linear_interp,random_p0.3,wbc,0.3396,0.5199,7477
linear_interp,random_p0.3,platelets,0.2388,0.4085,7625
linear_interp,random_p0.3,hemoglobin,0.4114,0.5797,7625
linear_interp,random_p0.3,hematocrit,0.4111,0.5839,8575
linear_interp,random_p0.3,lactate,0.3088,0.4668,6065
saits,random_p0.3,heart_rate,0.3638,0.5213,87141
saits,random_p0.3,sbp,0.3202,0.4768,84923
saits,random_p0.3,dbp,0.3860,0.5796,84719
saits,random_p0.3,respiratory_rate,0.5226,0.7256,86583
saits,random_p0.3,spo2,0.5263,0.7423,86339
saits,random_p0.3,temperature,0.4127,0.6227,5237
saits,random_p0.3,glucose,0.4882,0.7518,7444
saits,random_p0.3,potassium,0.5383,0.7292,8164
saits,random_p0.3,sodium,0.3149,0.4330,8085
saits,random_p0.3,chloride,0.3000,0.4169,8038
saits,random_p0.3,creatinine,0.1279,0.2603,7818
saits,random_p0.3,bun,0.1535,0.2555,7766
saits,random_p0.3,wbc,0.3219,0.4970,7477
saits,random_p0.3,platelets,0.2296,0.3828,7625
saits,random_p0.3,hemoglobin,0.1875,0.2989,7625
saits,random_p0.3,hematocrit,0.2159,0.3376,8575
saits,random_p0.3,lactate,0.3703,0.6124,6065
